Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159279,0.9146454505138069
RobustRegression,199465.55955429244,61664910393.24919,0.5010881990728202
RidgeRegression,82659.67244409776,10549745186.670172,0.91464526037841
LassoRegression,82657.9466217223,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.55959,0.8779812271613102
PolynomialRegression,82894.44762396756,10604968581.895864,0.9141984648931063
SGDRegressor,5.5803875143315565e+17,3.5310143321024884e+35,-2.8568349622085805e+24
ANN,199392.35547406017,61505717915.03902,0.502376176392359
RandomForest,97401.66977705866,14866865989.686848,0.8797167653734284
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
